Method,Description,Instance Variables,Class Methods,Other Methods,Line count
Level(),"
constructor initilizes the door array.
","doorConnections
doors
chambers
",,,3
generateLevel(),"
algorithem to generate the level.
",,"initChambers
getDoors
setDoorTarget
connectPassages
",,4
connectPassages(),"connects doors with passages using information
from hashmap","int
","generatePassage
","doorConnections.get
door.setOneSpace
targetDoor.setOneSpace
",8
getDoors(),returns doors from all chambers,"
",,"chamber.getDoors
door.setIndex
doors.add
",7
initChambers(),generates 5 chambers,"chambers
","generateChamber
","chambers.add
",4
setDoorTarget(),finds target chamber for door to connect,"doors
","randomChamber
","
doorConnections.put
",8
Chamber randomChamber(final ArrayList<Chamber> theChambers),returns random chamber from arraylist,"
",,"theChambers.size
r.nextInt
theChambers.get
",5
Door randomDoor(final  theDoors),returns random door from arraylist,"
",,"theDoors.size
r.nextInt
theDoors.get
",5
Passage generatePassage(final  index),"
algorithem to generate the passage with passagesections.
","
",,"passage.setIndex
passage.generatePassageSections
",4
Chamber generateChamber(final  indexChamber),"
algorithem to generate chamber. Returns 
new chamber
",,,"chamber.setIndex
",3
printDescription(),"prints the level description in order.
","chambers
",,,3
